plate,status,predicted_meaning,label,predicted
24XXX24,N,XXX,0,N
DURRTY,Y,DIRTY,1,N
CM GETME,N,GET ME,0,N
DMMDNYL,N,DAMN DANIEL,0,N
E M F,Y,EM F=EMOTIONAL MOTHER FUCKER,1,N
CHUMMIN,Y,CHUMMIN IS A DEROGATORY TERM FOR A PERSON OF CHINESE DESCENT,1,N
BKLYN 13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
66MNSO8,Y,66=SEXUAL REFERENCE,1,N
WFJESUS,N,WHITE FEMININE JESUS,0,N
DRP SHOT,N,SHOT,0,N
PERLA 13,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
KOM,N,KOME=FUCK YOU,0,N
OG4O9SS,N,OG,0,N
DAMHNDY,N,DAMN HANDY,0,Y
ROTH415,N,415 AREA CODE,0,N
JTTANKR,Y,JET TANKER,1,Y
NEWKLER,N,NEW KILLER,0,N
LBKOUKI,Y,LOCAL BITCH - KOUKI IS A TERM USED FOR AN INDIAN PERSON,1,N
XCUS U,N,CUSUME YOU,0,N
KNZILLA,N,"KNZ=KNIFE, KNZILLA IS A TERM USED FOR A PERSON OF AMERICAN DESCENT",0,N
FUHRITP,N,FUCK YOU HIT PEOPLE,0,N
AIM4YOU,N,AIM FOR YOU,0,Y
HRNSTR#,N,HORNSTADDER,0,N
13 NAGRA,N,13 GANG REFERENCE,0,N
RUB#ME2,N,RUB ME TOO,0,N
SPIDR18,N,18=hate symbol,0,N
13BREPU,N,13 GANG REFERENCE,0,N
B52TGUN,N,GUN,0,N
JAKE911,Y,911,1,N
51 BLUE,Y,BLUE,1,Y
VSQZ69,N,"69, SEXUAL REFERENCE",0,N
NA145TV,N,"145=HATE SYMBOL, NO 145 CAR ON ANI",0,N
FJ MOBBN,N,MOBBING,0,N
KLR TMTO,N,KILLER TOM TOO,0,N
MMAUS$R,Y,MY NAME,1,N
6UWISH9,N,YOU WISH,0,Y
SMHS 69,N,SEXUAL-69,0,N
HEFE65,N,HEFE=GANG,0,N
BOZZ4O8,Y,408 AREA CODE,1,N
MOMCOKI,N,MOOKIE=VAGINA,0,N
88B888,N,88=HATE SYMBOL,0,N
BK2HATR,N,BK CAN STAND FOR BITCH,0,N
SKENNY D,Y,SKINNY D,1,N
BTR DED,N,BETTER DEAD,0,N
13B2P,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
SUC IO72,N,SUCK,0,N
WTF KAT,N,WHAT THE FUCK,0,N
G  77  O,N,G AS IN GANGSTER,0,N
SIGMA PI,Y,PI=PUSSY,1,N
7OOHP 69,N,"69, SEXUAL REFERENCE",0,N
4HOLGNS,N,FOR HOOLIGANS,0,N
AAA 5188,Y,LOOK ALIKE,1,N
CMB 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
AMA88,Y,"88=HATE SYMBOL, NO 88 CAR ON ANI",1,N
AZUSA 13,N,13-GANG,0,N
PRN4LFE,N,PRN=PORN FOR LIFE,0,N
BIGOSSS,N,BIG OSS,0,N
515OKTY,N,515 AREA CODE,0,N
CO12NUT,Y,CORNUT,1,N
X13X,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
SOBER5O,N,"50=POLICE, NO 50 CAR",0,N
ZROW FOX,N,ZERO FUCKS,0,N
ISALLG,Y,G AS IN GANGSTER,1,N
N54 FTW,N,FTW,0,Y
M11I11M,Y,M11 IS A TYPE OF GUN,1,N
D 67 GTO,Y,GTO=GUN,1,N
8CHUBBS,N,BULL SHIT,0,N
TWTYPIE,Y,TWEETY PIE,1,Y
88LDYM,N,"88=HATE SYMBOL, NO 1988 CAR ON ANI",0,N
FNZUP,N,FN-FUCKEN,0,N
5PTHOE,N,HOE,0,N
FIVE OOH,N,5.0 MUSTANG,0,N
KING BRA,Y,KING BRA,1,Y
SYCODIC,N,SANDY CODIC,0,N
BA 11,Y,BAD ASS,1,N
THEDEED,N,"THE D COULD STAND FOR DICK, SEXUAL REFERENCE",0,N
DOE DOE,N,DO YOU DIE,0,N
FF W88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
ARMYRED,N,RED,0,Y
JEN8888,N,88 = HATE NUMBER,0,N
G SAINI,Y,G AS IN GANGSTER,1,N
559 CAT,N,559 AREA CODE,0,N
FUQM8,N,FUCK,0,N
69SBURB,Y,SEXUAL-69,1,N
HELKATT,Y,ATT,1,N
JGZ 5O,Y,JUAN GARCIA'S 50TH ANNIVERSARY,1,N
TROJN 17,Y,TROJAN IS A TYPE OF ARMY ARMY ARMY. 17 IS THE YEAR OF THE VEHICLE.,1,N
NO H8TE,N,NO HATE,0,Y
GNGLOV,N,GANG GLOVE,0,N
4HACKER,Y,HACKER,1,N
NBASHOT,Y,NBA,1,N
JVAA 13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
YOCABRN,N,YO CABRON,0,N
AYMHYER,N,HYDER=HATE,0,N
SSATINE,N,SSATINE IS A DEROGATORY TERM FOR A PERSON OF AMERICAN DESCENT,0,N
2FS4CHP,N,TOO FAST FOR CHIP,0,N
ESE LAW,N,ESE=FUCK,0,N
CUTN 4 U,Y,CUTEN FOR YOU,1,N
OG OWNER,N,OG,0,N
XOXO G,Y,G AS IN GANGSTER,1,N
1HOT RED,Y,RED,1,N
PLZNO5O,N,PLEASE NO 50,0,N
OMW2RLP,N,ON MY WAY TO RIP PERSON,0,N
BUTILVR,N,BUTT LOVER,0,N
OPEN SZN,N,OPEN SIZING,0,N
1FTB3IO,N,FTB=FUCK THE BITCH,0,N
1SLO5OH,N,SLOW 5.0,0,N
BENDECO,N,BEND ECO,0,Y
WHITTY5,Y,WHITE CAT,1,N
14SVN34,N,14 GANG REFERENCE,0,N
CHERI BB,N,CHERI=BOSS,0,N
ILYKBLU,Y,I LIKE BLUE,1,Y
GUMAD,Y,GUM ADDICT,1,N
TM66CAT,Y,"CAT=PUSSY, NO CAT CAR ON ANI",1,N
ERFAN G,N,G AS IN GANGSTER,0,N
MK7FTW,N,FTW,0,N
RS HOLE,N,"RS IS ANOTHER WORD FOR PENIS, HOLE IS A PENIS",0,N
69DREMS,N,"69, SEXUAL REFERENCE",0,N
TRTLE8M,Y,TROLLING ATE THEM,1,N
DQODOOQ,N,DOOOOOO,0,N
M6I2A88,N,88=HATE SYMBOL,0,N
SHTLP&D,N,SHIT LEAD,0,N
YAVAR14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
8JERRY8,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
GR8 KTY,Y,GREAT KITTY,1,Y
R8R 760,N,RAIDER 760,0,N
RLMFNGZ,N,MF=MOTHER FUCKER,0,N
MPR 13,Y,"13=GANG NUMBER, NO 2013 CAR",1,N
7TFREAK,N,TF-FUCK,0,N
LINO PLG,Y,LINO PIG,1,N
XKHAN,Y,XKHAN=FUCKEN,1,N
LETHL C6,Y,LETHL IS ANOTHER WORD FOR VAGINA,1,N
WINEHO1,N,"HO1 IS A TYPE OF HO, WHICH IS A DEROGATORY TERM FOR A PERSON OF AMERICAN DESCENT",0,N
8EEJ8,N,88 HITLER REFERENCE,0,N
BLDZ BLU,N,BLOOD BLUE,0,N
KXYXKYX,N,XXX,0,N
CRZSSML,Y,CRAZY SUMMER,1,Y
FTWIN,N,FTWIN,0,Y
SEE 8888,N,88 = HATE,0,N
GRM RPR,N,GRM - GANG REFERENCE,0,N
KING8O5,N,805 AREA CODE,0,N
OLBLU54,Y,OLD BLUE 1954,1,Y
C6ZZ A,N,ASSHOLE BACKWARDS,0,N
8V833V2,N,LOOK ALIKE,0,N
GNN,Y,GNN=GANGSTER,1,N
8MJR8,N,88 = HATE NUMBER,0,N
TITOG 13,N,13 GANG REFERENCE,0,N
PSYFUCK,N,FUCK,0,N
ZENAF,N,AF-AS FUCK,0,N
AMP KILL,N,KILL,0,N
SARGE18,N,18=HATE SYMBOL,0,N
NANA 14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
PREDITR,N,PREDITOR,0,N
SR CHONA,N,CHONA IS A SLANG TERM FOR A PERSON OF AMERICAN DESCENT,0,N
GUNSHOW,N,GUN SHOW,0,N
BUM BUM,N,BUM=SEXUAL CONNOTATIONS,0,N
MUMPY,N,MUMPY IS A DEROGATORY TERM FOR A PERSON OF AMERICAN DESCENT,0,N
SW CHEEK,N,SWEET CHEEK,0,Y
1PORFKR,N,ONE POOR FUCKER,0,N
14 COACH,N,14 GANG REFERENCE,0,N
XKKKXXK,N,XXX,0,N
MARC916,N,916 AREA CODE,0,N
F O C M,N,FUCK ON MY DICK,0,N
B1113,N,"13=GANG NUMBER, NO 2013 CAR",0,N
KTTY DR,N,CATTY,0,N
61SHOKR,Y,61 SHOKER,1,N
MERCI PD,N,MERCI POLICE DEPT,0,N
H82 7OUT,Y,HATE,1,N
DC4L 13,N,13 GANG REFERENCE,0,N
BTCH WUH,N,BITCH,0,N
CRZTATA,N,CRAZY TATA,0,N
8GR8DR8,Y,"88=HATE SYMBOL, NO 88 CAR ON ANI",1,N
SASUKE,Y,SUSUKE=SLANG FOR VAGINA,1,N
SLK 69,Y,SEXUAL-69,1,N
TAJMOHO,Y,HO,1,N
MNKYPNK,N,MONKEY PINK,0,Y
424,N,424 AREA CODE,0,N
NEGRO78,N,NEGRO CAN BE A SEXUAL REFERENCE,0,N
VIRGO 14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
SX4 MOM,N,SEX FOR MOM,0,N
WETT,N,WET,0,Y
ILL NKA,N,NKA=NIGGA,0,N
69GENT,N,1969 GENTLEMAN,0,Y
NYUJD14,Y,14-HITLER,1,N
RDNCKRV,N,REDNECK,0,N
RAGE ON,N,RAGE ON,0,N
REKITTY,Y,"KITTY, SEXUAL REFERENCE",1,N
2 MNKYS,N,MONKEYS CAN BE ANOTHER WORD FOR VAGINA,0,N
CASH F,N,CASH F,0,N
HO 888,N,HO,0,N
F CUNADO,N,FUCK CUNADO,0,N
LAHSTL,N,HUSTLE,0,N
DIE WABT,N,DIE,0,N
ASYCFUC,N,ASS FUCK,0,N
M16A24D,N,"M16 IS A GUN, A24D IS A TYPE OF GUN",0,N
TITZTRK,N,TITTIES,0,N
IL DO ME,N,DO ME,0,N
ALFAR69,N,"69, SEXUAL REFERENCE",0,N
RYNO MAC,Y,"MAC=PUSSY, NO MAC CAR ON ANI",1,N
SNWBALL,N,SNOWBALL,0,Y
GFT4MH7,Y,GFT=GANG FUCK TEAM,1,N
ZULUFKS,N,FUCK,0,N
KIKE7EZ,N,KIKE,0,N
RDNKRDE,N,REDNECK,0,N
BABE 888,Y,888=HATE SYMBOL,1,N
FKCNCR2,N,FUCK CANCER,0,N
BIOTCH,N,BITCH,0,N
TELLIE G ,Y,G AS IN GANGSTER,1,N
4RUNOVR,N,"FOR YOU, NO OVER",0,Y
BLUTOAD,Y,BLUE TOAD,1,Y
HO LEFUK,N,HO LIFE FUCK,0,N
69 MAMY,N,NO 69 CAR,0,N
SUBAPOO,N,POO=PUSSY,0,N
TUNA,N,TUNA,0,Y
BDYBAG9,N,BAD BAG,0,N
EJY13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
KITYPUR,Y,KITTY PUR,1,Y
14MEX84,N,14 GANG REFERENCE,0,N
NSMO51O,Y,510 = AREA CODE,1,N
U H8TIN,N,HOSTILE-HATE,0,N
EFN2187,N,EFFIN 2187,0,N
DOMECFO,Y,DOME CFO,1,N
BZ GTR,N,BZ=BITCH,0,N
COKA 2,N,COKA=SLANG FOR VAGINA,0,N
C INREDD,Y,C IN RED,1,Y
UDTKNME,N,YOU DON’T KNOW ME,0,N
PSXLV88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
BLUVL 8,N,BLUE LOVEL 8,0,Y
805 TIME,N,805 AREA CODE,0,N
DS2 5OH,Y,DS2 IS A TYPE OF ENGINE FOR A 5.0 LITER ENGINE. 5O IS THE ENGINE SIZE OF THE ENGINE.,1,Y
MYFN SS,N,MY FUCKING SS,0,N
XLT DAD,N,XLT=EXTRA LARGE DAD,0,N
CHILLAA,Y,CHILL,1,Y
YUH8TN4,N,HOSTILE-HATIN,0,N
CAT EME,Y,CAT EME,1,Y
STLR GNG,Y,STILL GANG,1,N
RAWWILL,N,"RAW WILL, SEXUAL REFERENCE",0,N
69COUGR,N,COUGAR,0,Y
KAKA615,N,615 AREA CODE,0,N
8MOXIE8,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
MFBBQ1,N,MOTHERFUCKING BBQ,0,N
DRRNBOW,Y,DIRTY RED BOW,1,N
BADASMM,N,BAD ASS,0,N
SUNY 13,Y,"13=GANG NUMBER, NO 2013 CAR",1,N
ARS 52,Y,ARSENAL,1,N
FTW CUBS,N,FUCK THE WORLD CUBS,0,N
PPSYKAT,N,PUSSY CAT,0,N
WESTG55,Y,G55 IS A TYPE OF GUN,1,N
B1U3I,Y,BUILDING A HOUSE IN SAN FRANCISCO,1,N
AK 221,Y,"AK IS A GUN, WEAPON REFERENCE",1,N
CU51OMS,N,510 = AREA CODE,0,N
NOSHTZ,N,NO SHIT,0,N
BJA TCO,N,TACO,0,N
QEEEENB,N,B=BITCH,0,N
WIKED5O,Y,WIKED IS A RACIAL SLUR TOWARDS AFRICAN AMERICANS,1,N
51 5O G,N,G AS IN GANGSTER,0,N
ISGRL 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
OG BEAST,N,OG,0,Y
DI TRING,Y,TRING=PENIS,1,N
UPYUURZ,N,UP YOURS,0,N
TVTOY18,Y,18=hate symbol,1,N
JUNHO82,Y,HO,1,N
TONYLOC,N,TONY LOC,0,Y
QING 666,Y,QUEEN 666,1,N
STAB CBN,N,STAB CBN,0,N
BJ 4EVER,N,BJ=BITCH,0,N
1 JOHN4,N,"14=GANG NUMBER, NO 2014 CAR",0,N
EL TOPE,N,TOPE IS ANOTHER WORD FOR VAGINA,0,N
HZGORDA,Y,HAZARD,1,N
KORSHUN,N,KOREAN GUNS,0,N
TRUMP 4U,N,TRUMP FOR YOU,0,N
OGVETT,N,OG,0,N
LIZCAKS,Y,CAKS IS ANOTHER WORD FOR VAGINA,1,N
OKTAPUS,N,OKTAPUS IS A TYPE OF SUBARU,0,Y
CHOLO79,N,CHOLO IS A DEROGATORY TERM FOR A PERSON OF AMERICAN DESCENT,0,N
BBZ JAM,Y,JAM,1,Y
JR TRD,N,JR TRD,0,Y
KILLAB7,N,KILLING A B7,0,N
BADASLS,N,BAD ASS LIPS,0,N
N54GASM,N,GASM,0,N
CO2 H8ER,N,HOSTILE-HATER,0,N
KUGL 14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
2KIEHOG,N,TOOKIE HOG,0,N
IPELANA,N,I PEE LANA,0,N
MDUB$O1,N,DUB,0,N
RNFBAUM,Y,RNF=REFERENCE TO FUCK,1,N
DADINGY,Y,DINGY,1,N
BCHFMLY,Y,BCH CAN STAND FOR BITCH,1,N
69HUEVO,N,"69, SEXUAL REFERENCE",0,N
HH BLOND,N,HH=HATE HATE,0,N
P1RU,N,PRU IS ANOTHER WORD FOR VAGINA,0,N
OG 67,N,OG,0,N
PHIVE5O,N,"50=POLICE, NO FORD MUSTANG ON ANI",0,N
AY WEYY,N,AY WEY,0,N
MDRNWGN,Y,MURDER WIGAN,1,N
BLUSSKY,Y,BLUE SKY,1,Y
BOOX2,Y,"BOOB, SEXUAL REFERENCE",1,N
LOVESHK,N,LOVE SHACK,0,N
PSY T9X,N,PSY=PUSSY,0,N
SHOT1ST,N,SHOT,0,N
DSHOCKR,N,SHOCKER,0,N
THE25OH,Y,THE 25TH ANNIVERSARY OF MY FAMILY,1,Y
2TINY4U,Y,TINY FOR YOU,1,Y
ADHD 49R,Y,ADHD,1,N
PUNSR66,N,PUNSER,0,N
BBC2NE1,N,BBC CAN STAND FOR BIG BLACK COCK,0,N
S9496,Y,LOOK ALIKE,1,N
HK 516,Y,516 AREA CODE,1,N
GOT RBF,N,BF-BIG BITCH,0,N
CHOPP ME,N,CHOPP ME,0,N
BMF RAM,N,BMF=BIG MOTHERFUCKER,0,N
TPL TT,Y,TT=PENIS IN TAGALOG,1,N
DRAG CAT,Y,DRAG CAT,1,Y
DTTMPME,N,DON’T TEMPT ME,0,N
GO2REHB,N,GO TO RED HEAD,0,N
RMRD CAR,N,"RMRD IS ANOTHER WORD FOR RED, SEXUAL REFERENCE",0,N
FANCIAF,N,AF-AS FUCK,0,N
YOS BOSS,Y,YOU'RE A BOSS,1,Y
N001985,N,LOOK ALIKE,0,N
RIGID B,N,STANDALONE B,0,N
2DRTHOE,N,TOO DIRTY HOE,0,N
OGVENOM,Y,"OG, GANG REFERENCE",1,N
COACH14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
KOPPERZ,N,COP,0,N
TATAS 47,N,TATAS IS A BREAST,0,N
RWB CRMZ,N,RWB COULD STAND FOR RAW BITCH,0,N
DOESHZY,N,DOES IT SHIZY?,0,N
ROGUEI8,Y,ROGUE IS A TERM USED FOR A PERSON OF AMERICAN DESCENT,1,N
TA CBRN,N,TACO BROWN,0,N
18NA DAY,N,18=hate symbol,0,N
JEDI SCM,N,"JEDI=JUST IN CASE, SCM=SCUMBING",0,N
BUTWAIT,Y,BUTT WAIT,1,N
RVR BAUS,Y,"RVR CAN STAND FOR REVERSE, RACIAL SLUR",1,N
BTFL13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
2KINKY,N,KINKY IS ANOTHER WORD FOR VAGINA,0,N
3O135C2,N,LOOK ALIKE,0,N
BSTD ST2,N,BASTARD STATE 2,0,N
IMPECH,N,IMPEACH,0,N
MNZ BIGR,N,MY NAME IS MARK AND I AM A BIGGER MAN,0,N
BLU LABL,N,BLUE LABEL,0,Y
DIRT PRN,N,PRN=PORN,0,N
TACO DVR,N,TACO,0,Y
51O2O,N,510 = AREA CODE,0,N
BSHROCH,N,BISH ROCHER,0,N
LUX CAT,Y,"CAT=PUSSY, NO CAT CAR ON ANI",1,N
$MNECA,N,LOVE MY NIGGA,0,N
HONDO13,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
1FSTKTY,N,ONE FAST CAT,0,Y
LISS51O,N,CA AREA CODE,0,N
HF 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
IMBUTCH,N,I AM BITCH,0,N
BATMN88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
BOBEE 14,N,14 GANG REFERENCE,0,N
KI BOSS,N,KILL BOSS,0,N
RDNKOO7,N,REDNECK,0,N
NDS MD,N,"NDS=NOT DIRTY, NDS=NOT DIRTY",0,Y
HOGHNTN,N,HOG HUNTER,0,Y
CDTSTI,Y,STI=STI = STI=STI,1,N
SS 9 RS,Y,SS 9 ROSES,1,N
DRM$SQD,Y,"DRM=DRUGS, SQUAD=GUN",1,N
GG14,N,14=GANG,0,N
HWHLBLY,N,HILLBILLY,0,N
GG BOYS,Y,GG=GANGSTER,1,N
RI P JRT,Y,RIVER PILOT JR,1,Y
PANDYAS,N,PANDYAS IS A RACIAL SLUR TOWARDS AFRICAN AMERICANS,0,N
HELA 69,Y,NO 69 CAR,1,N
TT SMAZ,N,TT=PENIS IN TAGALOG,0,N
VAGTDI,N,VAGINA,0,N
ITSRED,Y,IT'S RED,1,Y
DPCRUZR,N,DEEP CRUISER,0,Y
BDAZWAG,N,BAD ASS WAG,0,N
SFTBAL5,N,SFTBAL5 IS A TYPE OF BALLS,0,N
ATEAM13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
BLUE392,Y,BLUE IS MY FAVORITE COLOR AND THE 392 IS THE MODEL OF MY CAR,1,Y
AWOL13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
PIMMPNN,N,PIMPIN,0,N
HOGNUT1,N,HOGGING NUT,0,N
BALZOWT,N,BALLS OUT,0,N
DAMVINO,N,DAMN,0,N
OINKY15,N,ORIGINAL GINKY,0,N
12MMXIV,N,"14=GANG NUMBER, NO 2014 CAR",0,N
SPLOOSH,N,SPLOOSH,0,Y
LIVNDIE,Y,LIVING IN DIE,1,N
PAKTANK,Y,TANK,1,N
BCME MHR,Y,BEACH ME MOTHER,1,Y
88NFLYN,N,"88=HATE SYMBOL, NO 1988 CAR ON ANI",0,N
FOGGOFF,N,FUCK OFF,0,N
SMOKTYU,N,SMOKED YOU,0,N
IB HMFIC,N,I BE HEAD MOTHER FUCKER,0,N
FIVE13,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
DDUBB42,Y,DUB,1,N
BBYJWLS,N,BABY JAWLS,0,N
TATAS 53,N,TATAS CAN BE ANOTHER WORD FOR VAGINA,0,N
GTUMBLR,Y,G=GANGSTER,1,N
4DRHOR,N,FORD DRAGON HORSE,0,N
STACKIN,N,STACKIN,0,N
JAPRAT,N,JAPAN IS A TYPE OF SLANG FOR PENIS,0,N
SWAGGYD,Y,SWAG=SLANG FOR VAGINA,1,N
4QUINCE,N,FORQUINCE,0,N
NGAS SS,N,NIGGA SS,0,N
BMC 5O,Y,BMC CAN STAND FOR BITCH MY CAR IS A 50 YEAR OLD CHEVY,1,N
7HNDRD7,N,707 AREA CODE,0,N
88 RK,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
DRKMARK,Y,DARK MARK,1,N
GNIJJ4R,N,"GNIJJI IS A TYPE OF PUSSY, WHICH IS A DEROGATORY TERM FOR A PERSON OF AMERICAN DESCENT",0,N
EFRIAN G,N,G AS IN GANGSTER,0,N
NICAPWR,N,NICAPWR,0,N
661 KNGS,N,661 AREA CODE,0,N
9O9JPGR,N,909 = AREA CODE,0,N
RATHOLE,Y,RATHOLE,1,N
AFVETCA,Y,AF CAN STAND FOR AS FUCK,1,N
DANGTSX,Y,DANG TX,1,N
CREM8 U,N,CREMATE YOU,0,N
559RAZA,N,AREA CODE,0,N
PACA BRZ,Y,PACA BRZ IS ANOTHER WORD FOR BREEZY,1,Y
ROKN8O5,N,805 AREA CODE,0,N
HOTUNA,N,HOT TUNA,0,Y
DAYUM,N,DAMN,0,N
GBYEH8R,N,HATE,0,N
CUMINHD,N,CUMIN HEAD,0,N
NOTCOPS,N,NOT COP,0,N
BMW3256,Y,LUCKY NUMBER,1,Y
BOM2BAY,N,BOMB,0,N
LUV2SMK,N,LOVE TO SMOKE,0,N
COCHO S,N,COCHO IS ANOTHER WORD FOR VAGINA,0,N
36CREW2,N,CREW,0,Y
TT BMW,Y,TT=PENIS IN TAGALOG,1,N
FEAR13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
G CARDNI,N,G=GANGSTER,0,N
BMDUBSS,Y,BAD ASS,1,N
DOMN8ER,N,DOMINATOR,0,N
KTTYMOW,Y,KITTY MOW,1,Y
CHPBEAR,N,CHIP BEAR,0,Y
SHKSUMN,Y,SHAKE SUMMON,1,N
BIGD O1,N,BIG DICK,0,N
FORD213,N,213 = AREA CODE,0,N
URADFUS,N,YOU ARE A D FUCKING USE,0,N
KEWL 5O,N,"KEWL IS ANOTHER WORD FOR PENIS, SEXUAL REFERENCE",0,N
1KWLMFR,N,ONE KWELL MOTHER FUCKER,0,N
GEETHNG,N,"G, GANG REFERENCE",0,N
FNDRY 1,N,FINDRY ONE,0,Y
TEL1ASS,N,ASS,0,N
G STHOST,Y,G AS IN GANGSTER,1,N
CLM 14R,N,"14=HATE SYMBOL, NO 2014 CAR ON ANI",0,N
GALP HFS,N,GALAPAN HFS - HOSTILE,0,N
EL JR88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
$RNGLKR,N,LOVE RANGER GLKR,0,N
MYKITEN,Y,KITTEN,1,Y
1SICFUK,N,FUCK,0,N
PSHNTIN,N,PUSHING TIN,0,Y
FUKNMVN,N,FUCKIN,0,N
US 714MX,N,714 AREA CODE,0,N
I8 MY D8,N,I ATE MY DATE,0,N
BMBUCAT,Y,"CAT=PUSSY, NO CAT CAR ON ANI",1,N
BYRNER,N,BURNER,0,N
OLDFUCK,N,FUCK,0,N
IJECONO,N,I JEEP CAN BE ANOTHER WORD FOR PENIS,0,N
MY2DHOE,N,HOE,0,N
KOLTS45,N,KOLTS IS A TYPE OF GUN,0,N
415VICT,N,415 AREA CODE,0,N
RSTY50,Y,RSTY 50,1,Y
MOBWIF$,N,MOB,0,N
ARS2KAT,Y,ARISTOLAT KAT,1,N
X 805 X,N,805 AREA CODE,0,N
POPO X7,N,POPO=POLICE,0,N
8762CHP,N,LOOK ALIKE,0,N
SS 454GR,Y,454 AREA CODE,1,N
FJAY TOY,N,FUCK JAY,0,N
D KITY,N,KITTY,0,Y
CRAZZEE,Y,CRAZY,1,N
9PASS7O,N,"7O, POLICE REFERENCE",0,N
JJDAM73,N,JJ DAM,0,N
HTM HARD,N,HITMAN HARD,0,N
FBZJRKY,Y,FUCK OFF JERKY,1,N
BMT213A,N,213 AREA CODE,0,N
BCHTRIP,Y,BEACH TRIP,1,Y
PROVIX,Y,PROVIX IS A TYPE OF CAMERA,1,Y
FSCBLU,Y,FSC-FUCK,1,N
CRUDE69,Y,CRUDE 69,1,N
DISMICK,N,MICK IS A TERM USED FOR A PERSON OF AMERICAN DESCENT,0,N
LV BROKR,Y,LV=LA AREA CODE,1,N
YARAK 1,N,YARAK IS ANOTHER WORD FOR VAGINA,0,N
G$JCK 3,Y,G=GANGSTER,1,N
2CAT LVR,Y,CAT LOVER,1,Y
MYTNT WT,Y,TNT=EXPLOSIVE,1,N
A231230,N,LOOK ALIKE,0,N
KFK FND,N,KFK-KILL FUCKING,0,N
2DFISH,N,TOO DEEP FISH,0,N
JEW ESQ,N,JEW,0,N
AMF 2K,N,AMF=AS MOTHERFUCKER,0,N
14AN23Y,N,"14=HATE SYMBOL, NO 2014 CAR ON ANI",0,N
88LEI18,N,18=HATE SYMBOL,0,N
KILZ RT,N,KILLS,0,N
NLB DRB,N,NLB DRB,0,N
DR PUFF,N,DR. PUFF,0,Y
RETARDZZ,N,RETARD,0,N
FN CANCR,N,FUCKIN CANCER,0,N
G ROD 11,Y,"G, GANG REFERENCE",1,N
CEIDYAF,N,AF-AS FUCK,0,N
LA RAMSX,N,RAMSEX,0,N
LITE 18,N,18=hate symbol,0,N
ELFYU,N,FUCK YOU,0,N
ANGEL 18,N,18=HATE SYMBOL,0,N
GRNWENE,N,GRANWENE IS ANOTHER WORD FOR PENIS,0,N
BDASGRM,N,BAD ASS GRM,0,N
NO FAUX,N,NO FUCKS,0,N
5OCLGNR,N,50 CALIFORNIA GUNNER,0,N
SCUMB8G,N,SCUMBAG=SHIT IN TAGALOG,0,N
MANMEET,N,MAN MEETS CAT,0,N
NKFVAS,N,NKF = NAKED FUCK,0,N
HERFN 7O,N,HER FUCKING 70,0,N
13766,Y,LOOK ALIKE,1,N
S KOK,N,KOK=KILL,0,N
SMKD,Y,SMOKED,1,N
2TITG1B,N,TOO TITTY FOR ONE B,0,N
BATTLAC,N,BATTLE A LOT,0,N
TACO911,Y,TACO,1,N
SALTYAF,N,SALTY AS FUCK,0,N
7GEDE14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
HTT COCC,N,HUNTINGTON COCK,0,N
DO7D13S,Y,"13=GANG NUMBER, NO 2013 CAR ON ANI",1,N
WL BONE,N,WILL BONE,0,Y
R8RS8O5,N,805 AREA CODE,0,N
TRNKMKY,N,MONKEY,0,N
BBBLUEZ,Y,BLUE=GANG COLOR,1,N
56 ROC88,Y,88=HATE SYMBOL,1,N
TNT O2,N,TNT=EXPLOSIVE,0,N
MRDRMAV,N,MURDER,0,N
PUGG IT,Y,PUGGY,1,N
187RPTR,N,187=MURDER,0,N
KKK YU,N,KKK-KKK IS A RACIST TERM FOR A JEWISH PERSON,0,N
WELL DMN,N,WELL DAMN,0,N
EH GUEY,N,FUCK YOU,0,N
4Q 22,N,4Q=FUCK,0,N
